School ID,school_name,type,size,budget
7,Bailey High School,District,4976,3124928
6,Cabrera High School,Charter,1858,1081356
1,Figueroa High School,District,2949,1884411
13,Ford High School,District,2739,1763916
4,Griffin High School,Charter,1468,917500
3,Hernandez High School,District,4635,3022020
8,Holden High School,Charter,427,248087
0,Huang High School,District,2917,1910635
12,Johnson High School,District,4761,3094650
9,Pena High School,Charter,962,585858
11,Rodriguez High School,District,3999,2547363
2,Shelton High School,Charter,1761,1056600
14,Thomas High School,Charter,1635,1043130
5,Wilson High School,Charter,2283,1319574
10,Wright High School,Charter,1800,1049400
